,,,,@“ú–{‘S‘‰ˆŠÝ…‰·‚Ì‹L˜^i‘æ26†j,,,,,,,,
‚P‚Q“ú,17.2 ,16.2 ,17.0 ,16.7 ,19.8 ,22.2 ,23.6 ,25.7 ,25.9 ,25.9 ,23.0 ,19.9 
‚P‚R“ú,17.0 ,15.6 ,16.5 ,17.1 ,19.7 ,22.6 ,23.7 ,24.5 ,25.2 ,24.7 ,22.6 ,19.0 
‚P‚S“ú,17.3 ,15.7 ,16.1 ,17.8 ,20.7 ,22.8 ,24.1 ,26.4 ,24.9 ,24.8 ,22.5 ,18.9 
‚P‚T“ú,15.2 ,15.6 ,17.0 ,17.5 ,19.5 ,22.6 ,23.7 ,25.8 ,25.2 ,24.2 ,22.0 ,19.3 
‚P‚U“ú,17.5 ,16.3 ,17.2 ,17.5 ,19.5 ,22.2 ,23.4 ,25.0 ,25.3 ,23.9 ,22.5 ,19.0 
‚P‚V“ú,17.0 ,16.5 ,16.9 ,17.4 ,19.6 ,21.6 ,23.8 ,24.6 ,25.5 ,23.5 ,22.5 ,20.4 
‚P‚W“ú,15.9 ,15.7 ,17.7 ,17.2 ,-,22.2 ,24.5 ,23.7 ,25.7 ,23.7 ,22.3 ,20.0 
‚P‚X“ú,16.8 ,16.9 ,17.7 ,16.9 ,19.5 ,22.2 ,24.5 ,26.8 ,25.2 ,23.7 ,22.4 ,20.2 
‚Q‚O“ú,17.2 ,17.6 ,18.1 ,16.7 ,19.8 ,22.7 ,23.6 ,26.9 ,25.5 ,23.9 ,21.7 ,19.8 
‚Q‚P“ú,15.8 ,15.8 ,18.3 ,17.3 ,19.4 ,23.1 ,23.9 ,25.4 ,25.1 ,23.2 ,21.6 ,20.4 
‚Q‚Q“ú,16.3 ,15.7 ,18.8 ,17.5 ,19.1 ,23.2 ,24.2 ,25.9 ,25.1 ,22.9 ,21.1 ,20.7 
‚Q‚R“ú,15.4 ,16.1 ,17.6 ,17.4 ,20.2 ,22.9 ,24.0 ,26.3 ,25.4 ,23.6 ,20.4 ,18.8 
‚Q‚S“ú,14.9 ,15.6 ,17.3 ,17.7 ,18.9 ,23.2 ,24.3 ,24.6 ,25.3 ,23.9 ,20.9 ,20.6 
‚Q‚T“ú,14.9 ,15.7 ,17.4 ,18.1 ,19.8 ,23.8 ,24.9 ,24.8 ,24.5 ,22.5 ,21.2 ,20.9 
‚Q‚U“ú,16.9 ,15.6 ,17.2 ,18.0 ,20.0 ,23.9 ,25.0 ,24.4 ,24.6 ,23.5 ,21.0 ,20.8 
‚Q‚V“ú,16.2 ,15.8 ,17.2 ,17.4 ,19.5 ,23.8 ,25.0 ,26.0 ,25.0 ,23.4 ,20.5 ,21.0 
‚Q‚W“ú,16.2 ,15.4 ,16.8 ,17.2 ,18.7 ,23.7 ,24.7 ,26.0 ,25.5 ,23.2 ,21.5 ,20.2 
‚Q‚X“ú,15.9 ,,16.1 ,18.1 ,19.1 ,22.6 ,23.6 ,25.1 ,25.6 ,22.7 ,20.2 ,20.2 
‚R‚O“ú,16.2 ,,17.1 ,17.6 ,19.0 ,22.7 ,24.1 ,24.7 ,26.7 ,23.5 ,20.9 ,20.4 
‚R‚P“ú,16.9 ,,17.6 ,,20.4 ,,24.2 ,24.0 ,,23.3 ,,20.2 
