,,,,     “ú–{‘S‘‰ˆŠÝ…‰·‚Ì‹L˜^i‘æ19†j,,,,,,,,
‚P‚O“ú,16.5 ,16.1 ,15.2 ,14.5 ,18.7 ,19.8 ,21.4 ,26.1 ,25.4 ,22.0 ,21.2 ,17.5 
‚P‚P“ú,15.9 ,14.8 ,16.0 ,15.4 ,18.5 ,20.1 ,21.7 ,25.9 ,25.9 ,22.6 ,20.8 ,16.9 
‚P‚Q“ú,14.9 ,15.2 ,16.6 ,15.1 ,18.1 ,19.5 ,21.3 ,25.8 ,25.7 ,22.9 ,21.1 ,16.7 
‚P‚R“ú,15.9 ,15.2 ,16.3 ,15.5 ,19.0 ,19.1 ,21.9 ,26.1 ,25.0 ,23.4 ,20.8 ,16.0 
‚P‚S“ú,15.6 ,15.2 ,17.2 ,15.7 ,19.0 ,19.3 ,21.3 ,24.2 ,26.0 ,23.1 ,20.3 ,16.1 
‚P‚T“ú,15.9 ,15.3 ,17.7 ,15.1 ,18.9 ,19.2 ,21.3 ,25.0 ,25.4 ,23.1 ,19.6 ,16.2 
‚P‚U“ú,15.7 ,15.4 ,17.2 ,15.9 ,19.1 ,21.3 ,20.9 ,24.9 ,25.3 ,22.9 ,19.4 ,16.5 
‚P‚V“ú,13.9 ,15.1 ,17.0 ,17.3 ,19.5 ,22.3 ,21.8 ,24.9 ,25.9 ,22.5 ,20.0 ,16.7 
‚P‚W“ú,14.7 ,15.3 ,16.9 ,17.3 ,19.6 ,22.1 ,20.8 ,25.4 ,24.7 ,22.9 ,19.5 ,18.3 
‚P‚X“ú,15.2 ,15.2 ,16.7 ,17.3 ,19.6 ,22.3 ,21.0 ,25.4 ,25.3 ,20.3 ,18.9 ,16.6 
‚Q‚O“ú,13.3 ,15.0 ,16.0 ,17.3 ,19.6 ,22.4 ,22.7 ,25.2 ,25.1 ,22.1 ,18.8 ,16.4 
‚Q‚P“ú,13.9 ,14.5 ,16.3 ,17.2 ,19.3 ,20.6 ,22.2 ,24.7 ,24.4 ,22.7 ,18.3 ,16.7 
‚Q‚Q“ú,15.0 ,16.0 ,15.7 ,17.2 ,19.2 ,21.5 ,23.8 ,24.1 ,24.2 ,21.9 ,18.7 ,17.7 
‚Q‚R“ú,16.0 ,14.9 ,15.6 ,18.0 ,18.6 ,20.8 ,24.0 ,24.4 ,23.8 ,22.1 ,18.9 ,17.5 
‚Q‚S“ú,17.1 ,15.7 ,15.9 ,18.0 ,19.2 ,21.9 ,22.7 ,27.0 ,24.2 ,20.8 ,18.2 ,16.4 
‚Q‚T“ú,17.1 ,15.1 ,15.5 ,18.8 ,19.1 ,21.7 ,23.4 ,26.9 ,24.8 ,21.3 ,18.5 ,16.7 
‚Q‚U“ú,17.3 ,14.7 ,15.2 ,19.9 ,19.1 ,21.4 ,23.6 ,26.6 ,24.4 ,21.4 ,19.3 ,15.6 
‚Q‚V“ú,17.4 ,15.4 ,15.3 ,19.9 ,19.6 ,21.2 ,23.6 ,26.9 ,24.1 ,21.2 ,18.8 ,15.5 
‚Q‚W“ú,16.7 ,15.5 ,15.2 ,19.8 ,19.9 ,22.0 ,24.7 ,26.6 ,23.4 ,21.2 ,17.8 ,15.8 
‚Q‚X“ú,16.8 ,14.8 ,14.8 ,20.0 ,19.7 ,22.2 ,24.4 ,26.6 ,24.3 ,21.1 ,19.1 ,15.7 
‚R‚O“ú,16.8 ,,15.0 ,19.6 ,19.4 ,22.4 ,24.4 ,23.4 ,24.9 ,21.5 ,18.6 ,15.2 
‚R‚P“ú,16.9 ,,15.1 ,,19.9 ,,24.7 ,24.0 ,,21.5 ,,15.2 
